ESTE,NORTE
474044.3242,9530281.34
474045.4133,9530281.34
474045.4133,9530282.429
474047.5915,9530282.429
474047.5915,9530283.518
474048.6806,9530283.518
474048.6806,9530284.607
474050.8588,9530284.607
474050.8588,9530285.697
474051.9479,9530285.697
474051.9479,9530286.786
474054.1261,9530286.786
474054.1261,9530287.875
474055.2152,9530287.875
474055.2152,9530288.964
474057.3934,9530288.964
474057.3934,9530290.053
474058.4825,9530290.053
474058.4825,9530291.142
474060.6607,9530291.142
474060.6607,9530292.231
474061.7498,9530292.231
474061.7498,9530295.498
474062.8389,9530295.498
474062.8389,9530296.588
474065.0171,9530296.588
474065.0171,9530297.677
474067.1953,9530297.677
474067.1953,9530298.766
474070.4626,9530298.766
474070.4626,9530299.855
474072.6408,9530299.855
474072.6408,9530300.944
474073.7299,9530300.944
474073.7299,9530302.033
474075.9081,9530302.033
474075.9081,9530303.122
474076.9972,9530303.122
474076.9972,9530304.211
474078.0863,9530304.211
474078.0863,9530305.3
474080.2645,9530305.3
474080.2645,9530306.389
474081.3536,9530306.389
474081.3536,9530307.479
474083.5318,9530307.479
474083.5318,9530308.568
474085.71,9530308.568
474085.71,9530309.657
474088.9773,9530309.657
474088.9773,9530310.746
474091.1555,9530310.746
474091.1555,9530311.835
474094.4228,9530311.835
474094.4228,9530312.924
474096.601,9530312.924
474096.601,9530314.013
474099.8683,9530314.013
474099.8683,9530315.102
474103.1356,9530315.102
474103.1356,9530316.191
474105.3138,9530316.191
474105.3138,9530317.28
474108.5811,9530317.28
474108.5811,9530318.37
474111.8484,9530318.37
474111.8484,9530319.459
474114.0266,9530319.459
474114.0266,9530320.548
474117.2939,9530320.548
474117.2939,9530321.637
474120.5612,9530321.637
474120.5612,9530322.726
474122.7394,9530322.726
474122.7394,9530323.815
474126.0067,9530323.815
474126.0067,9530324.904
474129.274,9530324.904
474129.274,9530325.993
474132.5413,9530325.993
474132.5413,9530327.082
474135.8086,9530327.082
474135.8086,9530328.171
474137.9868,9530328.171
474137.9868,9530329.261
474142.3432,9530329.261
474142.3432,9530330.35
474144.5214,9530330.35
474144.5214,9530331.439
474147.7887,9530331.439
474147.7887,9530332.528
474151.056,9530332.528
474151.056,9530333.617
474154.3233,9530333.617
474154.3233,9530334.706
474156.5015,9530334.706
474156.5015,9530335.795
474159.7688,9530335.795
474159.7688,9530336.884
474161.947,9530336.884
474161.947,9530337.973
474165.2143,9530337.973
474165.2143,9530339.062
474167.3925,9530339.062
474167.3925,9530340.152
474170.6598,9530340.152
474170.6598,9530341.241
474173.9271,9530341.241
474173.9271,9530342.33
474176.1053,9530342.33
474176.1053,9530343.419
474178.2835,9530343.419
474178.2835,9530344.508
474180.4617,9530344.508
474180.4617,9530345.597
474182.6399,9530345.597
474182.6399,9530346.686
474184.8181,9530346.686
474184.8181,9530347.775
474186.9963,9530347.775
474186.9963,9530348.864
474189.1745,9530348.864
474189.1745,9530349.953
474191.3527,9530349.953
474191.3527,9530351.043
474193.5309,9530351.043
474193.5309,9530352.132
474195.7091,9530352.132
474195.7091,9530353.221
474197.8873,9530353.221
474197.8873,9530354.31
474200.0655,9530354.31
474200.0655,9530355.399
474202.2437,9530355.399
474202.2437,9530356.488
474204.4219,9530356.488
474204.4219,9530357.577
474206.6001,9530357.577
474206.6001,9530358.666
474209.8674,9530358.666
474209.8674,9530359.755
474212.0456,9530359.755
474212.0456,9530360.844
474214.2238,9530360.844
474214.2238,9530361.934
474216.402,9530361.934
474216.402,9530363.023
474218.5802,9530363.023
474218.5802,9530364.112
474220.7584,9530364.112
474220.7584,9530365.201
474222.9366,9530365.201
474222.9366,9530366.29
474225.1148,9530366.29
474225.1148,9530367.379
474227.293,9530367.379
474227.293,9530368.468
474228.3821,9530368.468
474228.3821,9530369.557
474230.5603,9530369.557
474230.5603,9530370.646
474231.6494,9530370.646
474231.6494,9530371.735
474236.0058,9530371.735
474236.0058,9530372.825
474238.184,9530372.825
474238.184,9530373.914
474239.2731,9530373.914
474239.2731,9530375.003
474240.3622,9530375.003
474240.3622,9530376.092
474242.5404,9530376.092
474242.5404,9530377.181
474244.7186,9530377.181
474244.7186,9530378.27
474246.8968,9530378.27
474246.8968,9530379.359
474249.075,9530379.359
474249.075,9530380.448
474251.2532,9530380.448
474251.2532,9530381.537
474253.4314,9530381.537
474253.4314,9530382.626
474255.6096,9530382.626
474255.6096,9530383.716
474257.7878,9530383.716
474257.7878,9530384.805
474258.8769,9530384.805
474258.8769,9530385.894
474262.1442,9530385.894
474262.1442,9530386.983
474263.2333,9530386.983
474263.2333,9530388.072
474265.4115,9530388.072
474265.4115,9530389.161
474267.5897,9530389.161
474274.1243,9530389.161
474274.1243,9530390.25
474275.2134,9530390.25
474275.2134,9530391.339
474277.3916,9530391.339
474278.2826,9530391.339
474279.3717,9530391.339
474279.3717,9530389.161
474280.4608,9530389.161
474280.4608,9530386.983
474281.5499,9530386.983
474281.5499,9530384.805
474282.639,9530384.805
474282.639,9530382.626
474283.7281,9530382.626
474283.7281,9530380.448
474284.8172,9530380.448
474284.8172,9530378.27
474285.9063,9530378.27
474285.9063,9530376.092
474286.9954,9530376.092
474286.9954,9530375.003
474288.0845,9530375.003
474288.0845,9530373.914
474289.1736,9530373.914
474289.1736,9530372.825
474290.2627,9530372.825
474290.2627,9530371.735
474291.3518,9530371.735
474291.3518,9530370.646
474292.4409,9530370.646
474292.4409,9530369.557
474293.53,9530369.557
474293.53,9530368.468
474306.7973,9530368.468
474306.7973,9530369.557
474307.8864,9530369.557
474307.8864,9530370.646
474310.0646,9530370.646
474310.0646,9530371.735
474311.1537,9530371.735
474311.1537,9530372.825
474312.2428,9530372.825
474312.2428,9530373.914
474313.3319,9530373.914
474313.3319,9530375.003
474315.5101,9530375.003
474315.5101,9530376.092
474316.5992,9530376.092
474316.5992,9530377.181
474317.6883,9530377.181
474317.6883,9530378.27
474319.8665,9530378.27
474319.8665,9530379.359
474320.9556,9530379.359
474320.9556,9530380.448
474323.1338,9530380.448
474323.1338,9530381.537
474324.2229,9530381.537
474324.2229,9530382.626
474325.312,9530382.626
474325.312,9530383.716
474327.4902,9530383.716
474327.4902,9530384.805
474328.5793,9530384.805
474328.5793,9530385.894
474329.6684,9530385.894
474329.6684,9530386.983
474331.8466,9530386.983
474331.8466,9530388.072
474332.9357,9530388.072
474332.9357,9530389.161
474334.0248,9530389.161
474334.0248,9530390.25
474336.203,9530390.25
474336.203,9530391.339
474337.2921,9530391.339
474337.2921,9530392.428
474338.3812,9530392.428
474338.3812,9530393.517
474340.5594,9530393.517
474340.5594,9530394.607
474341.6485,9530394.607
474341.6485,9530395.696
474342.7376,9530395.696
474342.7376,9530396.785
474344.9158,9530396.785
474344.9158,9530397.874
474346.0049,9530397.874
474346.0049,9530398.963
474347.094,9530398.963
474347.094,9530400.052
474349.2722,9530400.052
474349.2722,9530401.141
474350.3613,9530401.141
474350.3613,9530402.23
474352.5395,9530402.23
474352.5395,9530403.319
474353.6286,9530403.319
474353.6286,9530404.408
474354.7177,9530404.408
474354.7177,9530405.498
474356.8959,9530405.498
474356.8959,9530406.587
474357.985,9530406.587
474357.985,9530407.676
474359.0741,9530407.676
474359.0741,9530408.765
474360.1632,9530408.765
474360.1632,9530409.854
474361.2523,9530409.854
474361.2523,9530410.943
474362.3414,9530410.943
474362.3414,9530412.032
474364.5196,9530412.032
474364.5196,9530413.121
474365.6087,9530413.121
474365.6087,9530414.21
474366.6978,9530414.21
474366.6978,9530415.299
474368.876,9530415.299
474368.876,9530416.389
474369.9651,9530416.389
474369.9651,9530417.478
474372.1433,9530417.478
474372.1433,9530418.567
474373.2324,9530418.567
474373.2324,9530430.547
474389.5689,9530430.547
474389.5689,9530431.636
474392.8362,9530431.636
474392.8362,9530432.725
474395.0144,9530432.725
474395.0144,9530433.814
474399.3708,9530433.814
474399.3708,9530435.992
474407.8855,9530435.992
474407.8855,9530434.903
474422.2419,9530434.903
474422.2419,9530435.992
474437.4893,9530435.992
474437.4893,9530437.081
474439.6675,9530437.081
474439.6675,9530438.171
474453.8258,9530438.171
474453.8258,9530439.26
474459.2713,9530439.26
474459.2713,9530440.349
474460.3604,9530440.349
474475.6078,9530440.349
474475.6078,9530441.438
474476.6969,9530441.438
474476.6969,9530442.527
474477.786,9530442.527
474477.786,9530443.616
474478.8751,9530443.616
474478.8751,9530444.705
474481.0533,9530444.705
474481.0533,9530445.794
474482.1424,9530445.794
474482.1424,9530446.883
474483.2315,9530446.883
474483.2315,9530447.972
474484.3206,9530447.972
474484.3206,9530449.062
474485.4097,9530449.062
474485.4097,9530450.151
474487.5879,9530450.151
474487.5879,9530451.24
474488.677,9530451.24
474488.677,9530452.329
474489.7661,9530452.329
474489.7661,9530453.418
474490.8552,9530453.418
474490.8552,9530454.507
474491.9443,9530454.507
474491.9443,9530455.596
474493.0334,9530455.596
474493.0334,9530456.685
474494.1225,9530456.685
474494.1225,9530458.863
474495.2116,9530458.863
